Центральный,Белгородская область,Белгородская
Центральный,Брянская область,Брянская
Центральный,Владимирская область,Владимирская
Центральный,Воронежская область,Воронежская
Центральный,Ивановская область,Ивановская
Центральный,Калужская область,Калужская
Центральный,Костромская область,Костромская
Центральный,Курская область,Курская
Центральный,Липецкая область,Липецкая
Центральный,Московская область,Московская
Центральный,Орловская область,Орловская
Центральный,Рязанская область,Рязанская
Центральный,Смоленская область,Смоленская
Центральный,Тамбовская область,Тамбовская
Центральный,Тверская область,Тверская
Центральный,Тульская область,Тульская
Центральный,Ярославская область,Ярославская
Центральный,Москва,Москва
Южный,Республика Адыгея,Адыгея
Южный,Республика Калмыкия,Калмыкия
Южный,Краснодарский край,Краснодарский
Южный,Астраханская область,Астраханская
Южный,Волгоградская область,Волгоградская
Южный,Ростовская область,Ростовская
Северо-Западный,Республика Карелия,Карелия
Северо-Западный,Республика Коми,Коми
Северо-Западный,Архангельская область,Архангельская
Северо-Западный,Вологодская область,Вологодская
Северо-Западный,Калининградская область,Калининградская
Северо-Западный,Ленинградская область,Ленинградская
Северо-Западный,Мурманская область,Мурманская
Северо-Западный,Новгородская область,Новгородская
Северо-Западный,Псковская область,Псковская
Северо-Западный,Санкт-Петербург,Санкт-Петербург
Северо-Западный,Ненецкий автономный округ,Ненецкий
Дальневосточный,Республика Саха (Якутия),Саха /Якутия/
Дальневосточный,Камчатский край,Камчатский
Дальневосточный,Приморский край,Приморский
Дальневосточный,Хабаровский край,Хабаровский
Дальневосточный,Амурская область,Амурская
Дальневосточный,Магаданская область,Магаданская
Дальневосточный,Сахалинская область,Сахалинская
Дальневосточный,Еврейская автономная область,Еврейская
Дальневосточный,Чукотский автономный округ,Чукотский
Сибирский,Республика Алтай,Алтай
Сибирский,Республика Бурятия,Бурятия
Сибирский,Республика Тыва,Тыва
Сибирский,Республика Хакасия,Хакасия
Сибирский,Алтайский край,Алтайский
Сибирский,Забайкальский край,Забайкальский
Сибирский,Красноярский край,Красноярский
Сибирский,Иркутская область,Иркутская
Сибирский,Кемеровская область,Кемеровская
Сибирский,Новосибирская область,Новосибирская
Сибирский,Омская область,Омская
Сибирский,Томская область,Томская
Уральский,Курганская область,Курганская
Уральский,Свердловская область,Свердловская
Уральский,Тюменская область,Тюменская
Уральский,Челябинская область,Челябинская
Уральский,Ханты-Мансийский автономный округ — Югра,Ханты-Мансийский Автономный округ - Югра
Уральский,Ямало-Ненецкий автономный округ,Ямало-Ненецкий
Приволжский,Республика Башкортостан,Башкортостан
Приволжский,Республика Марий Эл,Марий Эл
Приволжский,Республика Мордовия,Мордовия
Приволжский,Республика Татарстан,Татарстан
Приволжский,Удмуртская Республика,Удмуртская
Приволжский,Чувашская Республика,Чувашская Республика -
Приволжский,Кировская область,Кировская
Приволжский,Нижегородская область,Нижегородская
Приволжский,Оренбургская область,Оренбургская
Приволжский,Пензенская область,Пензенская
Приволжский,Самарская область,Самарская
Приволжский,Саратовская область,Саратовская
Приволжский,Ульяновская область,Ульяновская
Приволжский,Пермский край,Пермский
Северо-Кавказский,Республика Дагестан,Дагестан
Северо-Кавказский,Республика Ингушетия,Ингушетия
Северо-Кавказский,Кабардино-Балкарская Республика,Кабардино-Балкарская
Северо-Кавказский,Карачаево-Черкесская Республика,Карачаево-Черкесская
Северо-Кавказский,Республика Северная Осетия,Северная Осетия - Алания
Северо-Кавказский,Чеченская Республика,Чеченская
Северо-Кавказский,Ставропольский край,Ставропольский
